Date,Time,Direction,Number,Type,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure
2022.05.24,17:21:58,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:05,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:30,Direction 8,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:44,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:46,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:46,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:50,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:51,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:51,Direction 13,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:56,Direction 13,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:57,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:58,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:22:59,Direction 7,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:23:07,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:23:26,Direction 12,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:23:34,Direction 1,1,Bus,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:23:35,Direction 10,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:23:41,Direction 8,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:23:59,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:02,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:06,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:07,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:11,Direction 13,4,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:15,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:20,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:21,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:23,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:26,Direction 14,1,Tram,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:27,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:31,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:32,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:24:48,Direction 3,1,Bus,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:30:01,Direction 14,1,Bus,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:30:03,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:30:07,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:30:08,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:30:09,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:30:10,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:30:15,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:30:18,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
